*Code,*Name,*Type,*Tax Code,Description,Dashboard,Expense Claims,Enable Payments,Balance
2300,CBILS,Current Liability,No VAT,,No,No,No,
2305,Short Term Bank Loan,Non-current Liability,No VAT,Any money that has been borrowed from a creditor,No,No,No,
2310,Hire Purchase Loan,Non-current Liability,No VAT,Any goods bought through hire purchase agreements,No,No,No,
2320,Provision for Corporation Tax,Current Liability,No VAT,Corporation tax payable to the HMRC,No,No,No,
3100,Reserves,Current Liability,No VAT,,No,No,No,
3102,Shareholder Investment,Current Liability,No VAT,,No,No,No,
3200,Profit & Loss Account,Equity,No VAT,,No,No,No,
3201,Dividend paid (to BGPRE),Current Liability,No VAT,,No,No,No,
3913,Deferred Tax - amounts used,Current Liability,No VAT,,No,No,No,
4000,Sales,Revenue,20% (VAT on Income),Income from any normal business activity,No,No,No,
4100,Other Revenue - Client Expenses,Revenue,20% (VAT on Income),Any other income that does not relate to  normal business activity and is not recurring,No,No,No,
4400,Interest Income,Revenue,No VAT,Gross interest income,No,No,No,
497,Bank Revaluations,Bank Revaluations,No VAT,Bank account revaluations due for foreign exchange rate changes,No,No,No,
498,Unrealised Currency Gains,Unrealised Currency Gains,No VAT,Unrealised currency gains on outstanding items,No,No,No,
499,Realised Currency Gains,Realised Currency Gains,No VAT,Gains or losses made due to currency exchange rate changes,No,No,No,
6001,Cost of Goods Sold,Direct Costs,20% (VAT on Expenses),Cost of goods sold by the business,No,No,No,
6002,Sub Contractors,Direct Costs,No VAT,Payment of wages/salary to an employee whose work can be directly linked to the product or service,No,No,No,
6201,Advertising,Direct Costs,20% (VAT on Expenses),Expenses incurred for advertising and marketing,No,Yes,No,
6202,Staff & Client Gifts,Direct Costs,20% (VAT on Expenses),,No,No,No,
6203,PR (literature & brochures),Direct Costs,20% (VAT on Expenses),,No,No,No,
6300,Client Recharges,Direct Costs,20% (VAT on Expenses),,No,No,No,
6302,Land Registry,Direct Costs,No VAT,,No,Yes,No,
7000,Gross Wages,Overhead,No VAT,Payment to employees in exchange for their resources,No,No,No,
7001,Commission,Overhead,No VAT,,No,No,No,
7003,Directors' Salaries,Overhead,No VAT,Payments to company directors in exchange for their resources,No,No,No,
7006,Employers National Insurance (Non Directors),Overhead,No VAT,Payment made for National Insurance contributions - business contribution only,No,No,No,
7007,Employer Pension Costs,Overhead,No VAT,Payments made to pension schemes,No,No,No,
